GeographyCode,MedianAge
K04000001,39
E92000001,39
W92000004,41
E12000001,41
E12000002,39
E12000003,39
E12000004,40
E12000005,39
E12000006,40
E12000007,33
E12000008,40
E12000009,42
E06000001,40
E06000002,37
E06000003,43
E06000004,39
E06000005,41
E06000006,39
E06000007,40
E06000008,35
E06000009,42
E06000010,36
E06000011,45
E06000012,41
E06000013,42
E06000014,38
E06000015,36
E06000016,31
E06000017,43
E06000018,30
E06000019,44
E06000020,38
E06000021,38
E06000022,40
E06000023,33
E06000024,44
E06000025,40
E06000026,38
E06000027,46
E06000028,38
E06000029,42
E06000030,38
E06000031,35
E06000032,32
E06000033,40
E06000034,36
E06000035,37
E06000036,37
E06000037,40
E06000038,33
E06000039,32
E06000040,40
E06000041,40
E06000042,35
E06000043,35
E06000044,34
E06000045,32
E06000046,46
E06000047,42
E06000048,45
E06000049,43
E06000050,42
E06000051,44
E06000052,45
E06000053,46
E06000054,42
E06000055,39
E06000056,40
E07000004,40
E07000005,44
E07000006,43
E07000007,39
E07000008,31
E07000009,40
E07000010,43
E07000011,41
E07000012,41
E07000026,45
E07000027,42
E07000028,42
E07000029,44
E07000030,46
E07000031,48
E07000032,43
E07000033,42
E07000034,42
E07000035,47
E07000036,41
E07000037,43
E07000038,45
E07000039,40
E07000040,49
E07000041,35
E07000042,44
E07000043,45
E07000044,48
E07000045,47
E07000046,47
E07000047,47
E07000048,49
E07000049,49
E07000050,44
E07000051,47
E07000052,49
E07000053,44
E07000061,43
E07000062,41
E07000063,45
E07000064,50
E07000065,46
E07000066,39
E07000067,41
E07000068,43
E07000069,45
E07000070,40
E07000071,38
E07000072,42
E07000073,37
E07000074,45
E07000075,44
E07000076,48
E07000077,42
E07000078,38
E07000079,46
E07000080,45
E07000081,38
E07000082,44
E07000083,44
E07000084,39
E07000085,44
E07000086,41
E07000087,44
E07000088,40
E07000089,41
E07000090,44
E07000091,47
E07000092,36
E07000093,43
E07000094,42
E07000095,39
E07000096,40
E07000097,40
E07000098,39
E07000099,40
E07000100,39
E07000101,37
E07000102,41
E07000103,35
E07000104,36
E07000105,40
E07000106,39
E07000107,37
E07000108,44
E07000109,39
E07000110,41
E07000111,43
E07000112,43
E07000113,40
E07000114,43
E07000115,41
E07000116,40
E07000117,39
E07000118,41
E07000119,47
E07000120,39
E07000121,40
E07000122,39
E07000123,35
E07000124,44
E07000125,40
E07000126,42
E07000127,42
E07000128,47
E07000129,42
E07000130,39
E07000131,43
E07000132,43
E07000133,43
E07000134,42
E07000135,41
E07000136,42
E07000137,49
E07000138,34
E07000139,44
E07000140,45
E07000141,43
E07000142,45
E07000143,44
E07000144,45
E07000145,43
E07000146,45
E07000147,51
E07000148,34
E07000149,45
E07000150,37
E07000151,43
E07000152,42
E07000153,40
E07000154,36
E07000155,43
E07000156,40
E07000163,47
E07000164,46
E07000165,43
E07000166,40
E07000167,47
E07000168,46
E07000169,42
E07000170,41
E07000171,43
E07000172,42
E07000173,42
E07000174,41
E07000175,43
E07000176,42
E07000177,39
E07000178,29
E07000179,42
E07000180,41
E07000181,42
E07000187,43
E07000188,44
E07000189,44
E07000190,43
E07000191,51
E07000192,40
E07000193,40
E07000194,44
E07000195,41
E07000196,45
E07000197,43
E07000198,45
E07000199,39
E07000200,45
E07000201,37
E07000202,36
E07000203,44
E07000204,41
E07000205,46
E07000206,45
E07000207,40
E07000208,40
E07000209,38
E07000210,44
E07000211,40
E07000212,39
E07000213,41
E07000214,41
E07000215,43
E07000216,42
E07000217,38
E07000218,43
E07000219,40
E07000220,40
E07000221,46
E07000222,39
E07000223,44
E07000224,47
E07000225,46
E07000226,35
E07000227,44
E07000228,42
E07000229,42
E07000234,44
E07000235,47
E07000236,38
E07000237,37
E07000238,45
E07000239,44
E08000001,38
E08000002,40
E08000003,29
E08000004,37
E08000005,38
E08000006,35
E08000007,41
E08000008,39
E08000009,39
E08000010,40
E08000011,40
E08000012,35
E08000013,41
E08000014,44
E08000015,42
E08000016,41
E08000017,40
E08000018,41
E08000019,36
E08000020,40
E08000021,33
E08000022,41
E08000023,42
E08000024,41
E08000025,32
E08000026,34
E08000027,41
E08000028,36
E08000029,42
E08000030,39
E08000031,37
E08000032,34
E08000033,40
E08000034,38
E08000035,35
E08000036,41
E09000001,39
E09000002,32
E09000003,35
E09000004,39
E09000005,32
E09000006,40
E09000007,33
E09000008,35
E09000009,33
E09000010,34
E09000011,33
E09000012,30
E09000013,32
E09000014,32
E09000015,36
E09000016,40
E09000017,35
E09000018,33
E09000019,31
E09000020,36
E09000021,35
E09000022,31
E09000023,33
E09000024,34
E09000025,29
E09000026,34
E09000027,38
E09000028,32
E09000029,38
E09000030,29
E09000031,32
E09000032,32
E09000033,34
W06000001,45
W06000002,42
W06000003,46
W06000004,44
W06000005,41
W06000006,40
W06000008,42
W06000009,45
W06000010,44
W06000011,39
W06000012,42
W06000013,41
W06000014,42
W06000015,33
W06000016,40
W06000018,40
W06000019,41
W06000020,41
W06000021,45
W06000022,38
W06000023,46
W06000024,40
E02000001,39
E02000002,33
E02000003,35
E02000004,38
E02000005,33
E02000007,31
E02000008,33
E02000009,32
E02000010,32
E02000011,36
E02000012,32
E02000013,32
E02000014,33
E02000015,31
E02000016,28
E02000017,30
E02000018,31
E02000019,32
E02000020,31
E02000021,32
E02000022,27
E02000023,28
E02000024,41
E02000025,39
E02000026,40
E02000027,37
E02000028,38
E02000029,37
E02000030,43
E02000031,39
E02000032,41
E02000033,37
E02000034,38
E02000035,37
E02000036,35
E02000037,36
E02000038,36
E02000039,37
E02000040,35
E02000041,34
E02000042,36
E02000043,37
E02000044,33
E02000045,34
E02000046,34
E02000047,32
E02000048,36
E02000049,29
E02000050,34
